accession,evidence,location,MANUAL_MAP
Q969I6,ECO:0000269,Cell membrane,Cell.membrane
Q8R1S9,ECO:0000269,Cell membrane,Cell.membrane
A2VCW5,ECO:0000269,Cell membrane,Cell.membrane
Q8VDB9,ECO:0000269,Apical cell membrane,Cell.membrane
O88575,ECO:0000269,Apical cell membrane,Cell.membrane
Q9ES21,ECO:0000269,Endoplasmic reticulum membrane,Endoplasmic.reticulum
P32368,ECO:0000269,Endoplasmic reticulum membrane,Endoplasmic.reticulum
P32368,ECO:0000269,Golgi apparatus membrane,Golgi.apparatus
Q9Y2H2,ECO:0000269,Membrane,Cell.membrane
Q8CDA1,ECO:0000269,Membrane,Cell.membrane
A6H687,ECO:0000269,Cytoplasm,Cytoplasm
O74889,ECO:0000269,Cytoplasm,Cytoplasm
O74889,ECO:0000269,Nucleus envelope,Nucleus
Q9USI4,ECO:0000269,Cytoplasm,Cytoplasm
Q9USI4,ECO:0000269,Nucleus,Nucleus
F4IUY8,ECO:0000269,Nucleus,Nucleus
F4JAU2,ECO:0000269,Nucleus,Nucleus
P46674,ECO:0000269,Nucleus envelope,Nucleus
J7MFT5,ECO:0000269,Secreted,Extracellular
Q9VEX9,ECO:0000269,Nucleus,Nucleus
O00422,ECO:0000269,Nucleus,Nucleus
O00422,ECO:0000269,Cytoplasm,Cytoplasm
O00422,ECO:0000269,Nucleus speckle,Nucleus
A8PZM4,ECO:0000269,Secreted,Extracellular
P40847,ECO:0000269,Nucleus,Nucleus
Q1EHW4,ECO:0000269,Nucleus,Nucleus
Q1EHW4,ECO:0000269,Cytoplasm,Cytoplasm
O00631,ECO:0000269,Sarcoplasmic reticulum membrane,Endoplasmic.reticulum
Q9CQD6,ECO:0000269,Sarcoplasmic reticulum membrane,Endoplasmic.reticulum
P42532,ECO:0000269,Sarcoplasmic reticulum membrane,Endoplasmic.reticulum
P42532,ECO:0000269,Endoplasmic reticulum membrane,Endoplasmic.reticulum
Q9C9T2,ECO:0000269,Nucleus,Nucleus
Q9FLY0,ECO:0000269,Plastid,Plastid
Q64380,ECO:0000269,Mitochondrion matrix,Mitochondrion
P48415,ECO:0000269,Endoplasmic reticulum membrane,Endoplasmic.reticulum
X5JA13,ECO:0000269,Cytoplasm,Cytoplasm
X5JA13,ECO:0000269,Secreted,Extracellular
P63296,ECO:0000269,Secreted,Extracellular
P09910,ECO:0000269,Secreted,Extracellular
P63297,ECO:0000269,Secreted,Extracellular
P01280,ECO:0000269,Secreted,Extracellular
P09683,ECO:0000269,Secreted,Extracellular
P63298,ECO:0000269,Secreted,Extracellular
P32647,ECO:0000269,Secreted,Extracellular
P11384,ECO:0000269,Secreted,Extracellular
P31299,ECO:0000269,Secreted,Extracellular
Q9FFD9,ECO:0000269,Endoplasmic reticulum membrane,Endoplasmic.reticulum
Q06058,ECO:0000269,Endoplasmic reticulum membrane,Endoplasmic.reticulum
F4I340,ECO:0000269,Endoplasmic reticulum membrane,Endoplasmic.reticulum
Q8L615,ECO:0000269,Endoplasmic reticulum membrane,Endoplasmic.reticulum
Q93794,ECO:0000269,Cytoplasm,Cytoplasm
O13858,ECO:0000269,Cell membrane,Cell.membrane
G5ECQ3,ECO:0000269,Cytoplasm,Cytoplasm
Q9H3S1,ECO:0000269,Cell membrane,Cell.membrane
Q62178,ECO:0000269,Cell membrane,Cell.membrane
Q64151,ECO:0000269,Cell junction,Cell.membrane
Q64151,ECO:0000269,Cytoplasmic vesicle,Lysosome/Vacuole
Q92854,ECO:0000269,Cell membrane,Cell.membrane
O09126,ECO:0000269,Cell membrane,Cell.membrane
Q9Z143,ECO:0000269,Cell membrane,Cell.membrane
Q9Z143,ECO:0000269,Cell junction,Cell.membrane
Q9V3Z2,ECO:0000269,Secreted,Extracellular
O49485,ECO:0000269,Plastid,Plastid
O04130,ECO:0000269,Plastid,Plastid
Q9LT69,ECO:0000269,Plastid,Plastid
Q9TY95,ECO:0000269,Cell membrane,Cell.membrane
Q9TY95,ECO:0000269,Secreted,Extracellular
P69193,ECO:0000269,Secreted,Extracellular
Q9Y6P5,ECO:0000269,Nucleus,Nucleus
Q9Y6P5,ECO:0000269,Cytoplasm,Cytoplasm
P58004,ECO:0000269,Cytoplasm,Cytoplasm
Q9UTE0,ECO:0000269,Endoplasmic reticulum membrane,Endoplasmic.reticulum
D0N0J7,ECO:0000269,Secreted,Extracellular
O13652,ECO:0000269,Cytoplasm,Cytoplasm
O13652,ECO:0000269,Nucleus,Nucleus
P61095,ECO:0000269,Secreted,Extracellular
Q12369,ECO:0000269,Cytoplasm,Cytoplasm
D0N0N6,ECO:0000269,Secreted,Extracellular
P61096,ECO:0000269,Secreted,Extracellular
D0N6D2,ECO:0000269,Secreted,Extracellular
D0NCC1,ECO:0000269,Secreted,Extracellular
D0NMF6,ECO:0000269,Secreted,Extracellular
D0NN72,ECO:0000269,Secreted,Extracellular
D0NXM3,ECO:0000269,Secreted,Extracellular
D0P1B2,ECO:0000269,Secreted,Extracellular
P61094,ECO:0000269,Secreted,Extracellular
Q8CFD0,ECO:0000269,Mitochondrion membrane,Mitochondrion
Q4F883,ECO:0000269,Nucleus,Nucleus
Q4F883,ECO:0000269,Cytoplasm,Cytoplasm
P40561,ECO:0000269,Cytoplasm,Cytoplasm
Q18412,ECO:0000269,Nucleus,Nucleus
Q18412,ECO:0000269,Chromosome,Nucleus
Q24141,ECO:0000269,Chromosome,Nucleus
Q5FBB7,ECO:0000269,Chromosome,Nucleus
Q5FBB7,ECO:0000269,Cytoplasm,Cytoplasm
Q4QSC8,ECO:0000269,Nucleus,Nucleus
Q4QSC8,ECO:0000269,Chromosome,Nucleus
E3VXF2,ECO:0000269,Nucleus,Nucleus
E3VXF2,ECO:0000269,Chromosome,Nucleus
Q9P7A0,ECO:0000269,Chromosome,Nucleus
Q4KLP8,ECO:0000269,Nucleus,Nucleus
Q4KLP8,ECO:0000269,Chromosome,Nucleus
Q8T390,ECO:0000269,Cytoplasm,Cytoplasm
Q8T390,ECO:0000269,Membrane,Cell.membrane
O35180,ECO:0000269,Cytoplasm,Cytoplasm
B1V8A0,ECO:0000269,Cell junction,Cell.membrane
B1V8A0,ECO:0000269,Cytoplasmic vesicle,Lysosome/Vacuole
Q96B97,ECO:0000269,Cytoplasm,Cytoplasm
Q9UJC5,ECO:0000269,Nucleus,Nucleus
Q10321,ECO:0000269,Nucleus,Nucleus
Q10321,ECO:0000269,Cytoplasm,Cytoplasm
Q8W5R2,ECO:0000269,Vacuole membrane,Lysosome/Vacuole
F4IP13,ECO:0000269,Vacuole membrane,Lysosome/Vacuole
Q8GXF8,ECO:0000269,Plastid,Plastid
Q06236,ECO:0000269,Mitochondrion inner membrane,Mitochondrion
Q9EQL9,ECO:0000269,Cytoplasm,Cytoplasm
Q9EQL9,ECO:0000269,Cell junction,Cell.membrane
Q9SZF7,ECO:0000269,Cytoplasm,Cytoplasm
Q9SZF7,ECO:0000269,Nucleus,Nucleus
A2RV66,ECO:0000269,Endoplasmic reticulum,Endoplasmic.reticulum
Q2WFL8,ECO:0000269,Endoplasmic reticulum membrane,Endoplasmic.reticulum
Q7T0Z7,ECO:0000269,Endoplasmic reticulum membrane,Endoplasmic.reticulum
Q8N114,ECO:0000269,Endoplasmic reticulum membrane,Endoplasmic.reticulum
Q8N114,ECO:0000269,Nucleus membrane,Nucleus
Q9D7I0,ECO:0000269,Endoplasmic reticulum membrane,Endoplasmic.reticulum
Q9D7I0,ECO:0000269,Nucleus membrane,Nucleus
Q6ZXC8,ECO:0000269,Golgi apparatus membrane,Golgi.apparatus
O43255,ECO:0000269,Cytoplasm,Cytoplasm
O43255,ECO:0000269,Nucleus,Nucleus
Q8R4T2,ECO:0000269,Cytoplasm,Cytoplasm
Q14190,ECO:0000269,Nucleus,Nucleus
Q9USQ4,ECO:0000269,Nucleus,Nucleus
P61504,ECO:0000269,Secreted,Extracellular
O15304,ECO:0000269,Cytoplasm,Cytoplasm
O15304,ECO:0000269,Nucleus,Nucleus
P53965,ECO:0000269,Cytoplasm,Cytoplasm
A8D8P8,ECO:0000269,Cytoplasm,Cytoplasm
Q15475,ECO:0000269,Nucleus,Nucleus
Q8WVK7,ECO:0000269,Cytoplasm,Cytoplasm
Q8WVK7,ECO:0000269,Chromosome,Nucleus
Q8IX90,ECO:0000269,Chromosome,Nucleus
Q86WV1,ECO:0000269,Cytoplasm,Cytoplasm
Q86WV1,ECO:0000269,Nucleus,Nucleus
Q86WV1,ECO:0000269,Cell membrane,Cell.membrane
Q0IMG9,ECO:0000269,Nucleus,Nucleus
Q0IMG9,ECO:0000269,Cytoplasm,Cytoplasm
C0HJQ0,ECO:0000269,Secreted,Extracellular
Q9LG97,ECO:0000269,Nucleus,Nucleus
P81114,ECO:0000269,Secreted,Extracellular
B1GT61,ECO:0000269,Secreted,Extracellular
A4YHQ8,ECO:0000269,Secreted,Extracellular
Q980C7,ECO:0000269,Secreted,Extracellular
Q4J6E5,ECO:0000269,Secreted,Extracellular
P97440,ECO:0000269,Cytoplasm,Cytoplasm
P97440,ECO:0000269,Nucleus,Nucleus
O94813,ECO:0000269,Secreted,Extracellular
P24014,ECO:0000269,Secreted,Extracellular
E2DQZ6,ECO:0000269,Secreted,Extracellular
E2DQZ5,ECO:0000269,Secreted,Extracellular
O54988,ECO:0000269,Cytoplasm,Cytoplasm
Q8IY92,ECO:0000269,Nucleus,Nucleus
Q9P6M0,ECO:0000269,Nucleus,Nucleus
Q5PRF9,ECO:0000269,Cytoplasm,Cytoplasm
Q5PRF9,ECO:0000269,Nucleus,Nucleus
Q0VAQ4,ECO:0000269,Cell membrane,Cell.membrane
Q7TPF1,ECO:0000269,Cell membrane,Cell.membrane
Q9BSF0,ECO:0000269,Cell membrane,Cell.membrane
Q9NZC9,ECO:0000269,Nucleus,Nucleus
Q3UMB5,ECO:0000269,Cytoplasm,Cytoplasm
P51834,ECO:0000269,Cytoplasm,Cytoplasm
B8GZ28,ECO:0000269,Cytoplasm,Cytoplasm
B2RUZ4,ECO:0000269,Cell membrane,Cell.membrane
Q4JM44,ECO:0000269,Cell membrane,Cell.membrane
Q9VS60,ECO:0000269,Endoplasmic reticulum membrane,Endoplasmic.reticulum
Q06091,ECO:0000269,Nucleus,Nucleus
Q07549,ECO:0000269,Vacuole membrane,Lysosome/Vacuole
O74536,ECO:0000269,Cytoplasm,Cytoplasm
O74536,ECO:0000269,Nucleus,Nucleus
P06782,ECO:0000269,Cytoplasm,Cytoplasm
P06782,ECO:0000269,Nucleus,Nucleus
P06782,ECO:0000269,Nucleus membrane,Nucleus
Q9UTN6,ECO:0000269,Nucleus,Nucleus
O94421,ECO:0000269,Nucleus,Nucleus
Q9P7S6,ECO:0000269,Cytoplasm,Cytoplasm
Q9P7S6,ECO:0000269,Nucleus,Nucleus
G5EBN9,ECO:0000269,Cell membrane,Cell.membrane
P10870,ECO:0000269,Cell membrane,Cell.membrane
Q944A6,ECO:0000269,Nucleus,Nucleus
Q944A6,ECO:0000269,Cytoplasm,Cytoplasm
O74792,ECO:0000269,Nucleus,Nucleus
G5EBM5,ECO:0000269,Cell membrane,Cell.membrane
O74418,ECO:0000269,Nucleus,Nucleus
Q13573,ECO:0000269,Nucleus,Nucleus
Q9CWT3,ECO:0000269,Cytoplasm,Cytoplasm
P24706,ECO:0000269,Cytoplasm,Cytoplasm
Q7SIC3,ECO:0000269,Cytoplasm,Cytoplasm
Q9C9D0,ECO:0000269,Cytoplasm,Cytoplasm
Q9FZ80,ECO:0000269,Cytoplasm,Cytoplasm
Q9C9C9,ECO:0000269,Cytoplasm,Cytoplasm
P48430,ECO:0000269,Nucleus,Nucleus
Q6P0E1,ECO:0000269,Nucleus,Nucleus
Q6P0E1,ECO:0000269,Cytoplasm,Cytoplasm
P48432,ECO:0000269,Nucleus,Nucleus
Q13342,ECO:0000269,Nucleus,Nucleus
Q13342,ECO:0000269,Cytoplasm,Cytoplasm
Q9Y5B9,ECO:0000269,Nucleus,Nucleus
Q9Y5B9,ECO:0000269,Chromosome,Nucleus
P0CH88,ECO:0000269,Secreted,Extracellular
Q03524,ECO:0000269,Cell membrane,Cell.membrane
Q99932,ECO:0000269,Cytoplasmic vesicle,Lysosome/Vacuole
Q99932,ECO:0000269,Cytoplasm,Cytoplasm
Q3V0Q6,ECO:0000269,Cytoplasm,Cytoplasm
Q3V0Q6,ECO:0000269,Nucleus,Nucleus
Q3V0Q6,ECO:0000269,Cytoplasmic vesicle,Lysosome/Vacuole
P48594,ECO:0000269,Cytoplasm,Cytoplasm
P40014,ECO:0000269,Nucleus,Nucleus
P40014,ECO:0000269,Chromosome,Nucleus
P33419,ECO:0000269,Nucleus,Nucleus
P33419,ECO:0000269,Cytoplasm,Cytoplasm
Q9UTQ9,ECO:0000269,Endoplasmic reticulum membrane,Endoplasmic.reticulum
Q04969,ECO:0000269,Endoplasmic reticulum membrane,Endoplasmic.reticulum
O23141,ECO:0000269,Plastid,Plastid
O23141,ECO:0000269,Cytoplasm,Cytoplasm
Q23288,ECO:0000269,Cytoplasm,Cytoplasm
O07116,ECO:0000269,Cytoplasm,Cytoplasm
Q6ZWS8,ECO:0000269,Nucleus,Nucleus
Q6ZWS8,ECO:0000269,Nucleus speckle,Nucleus
P0AG24,ECO:0000269,Cytoplasm,Cytoplasm
Q18240,ECO:0000269,Nucleus,Nucleus
Q17768,ECO:0000269,Nucleus,Nucleus
P13213,ECO:0000269,Secreted,Extracellular
Q9BXB7,ECO:0000269,Golgi apparatus,Golgi.apparatus
Q9D552,ECO:0000269,Cytoplasm,Cytoplasm
Q9DAQ9,ECO:0000269,Mitochondrion outer membrane,Mitochondrion
Q99MY0,ECO:0000269,Cytoplasm,Cytoplasm
Q99MY0,ECO:0000269,Nucleus,Nucleus
Q9HD15,ECO:0000269,Nucleus,Nucleus
Q9HD15,ECO:0000269,Cytoplasm,Cytoplasm
O43019,ECO:0000269,Cytoplasm,Cytoplasm
Q8VYF9,ECO:0000269,Endoplasmic reticulum membrane,Endoplasmic.reticulum
Q940H6,ECO:0000269,Nucleus,Nucleus
P43292,ECO:0000269,Nucleus,Nucleus
O74436,ECO:0000269,Cytoplasm,Cytoplasm
P38687,ECO:0000269,Nucleus,Nucleus
Q8Y8H5,ECO:0000269,Cell membrane,Cell.membrane
Q2FV99,ECO:0000269,Cell membrane,Cell.membrane
Q14140,ECO:0000269,Nucleus,Nucleus
Q14140,ECO:0000269,Cytoplasm,Cytoplasm
Q9UJW9,ECO:0000269,Nucleus,Nucleus
P54603,ECO:0000269,Cell membrane,Cell.membrane
Q2G2J2,ECO:0000269,Secreted,Extracellular
Q9RY51,ECO:0000269,Cytoplasm,Cytoplasm
Q07084,ECO:0000269,Cytoplasm,Cytoplasm
H9JBU5,ECO:0000269,Apicolateral cell membrane,Cell.membrane
Q9VW87,ECO:0000269,Apicolateral cell membrane,Cell.membrane
Q9VW87,ECO:0000269,Cell junction,Cell.membrane
P47002,ECO:0000269,Cell membrane,Cell.membrane
P38788,ECO:0000269,Cytoplasm,Cytoplasm
Q9UEE5,ECO:0000269,Nucleus,Nucleus
Q9GM70,ECO:0000269,Nucleus,Nucleus
O94768,ECO:0000269,Nucleus,Nucleus
Q91XS8,ECO:0000269,Nucleus,Nucleus
Q91XS8,ECO:0000269,Cell membrane,Cell.membrane
O60284,ECO:0000269,Nucleus,Nucleus
Q9QX27,ECO:0000269,Nucleus,Nucleus
O95210,ECO:0000269,Endoplasmic reticulum membrane,Endoplasmic.reticulum
O95210,ECO:0000269,Cell membrane,Cell.membrane
Q923B6,ECO:0000269,Cell membrane,Cell.membrane
Q4V8K1,ECO:0000269,Cell membrane,Cell.membrane
D0ZXR5,ECO:0000269,Secreted,Extracellular
D0ZI38,ECO:0000269,Secreted,Extracellular
D0ZIB5,ECO:0000269,Secreted,Extracellular
Q8ZP57,ECO:0000269,Secreted,Extracellular
Q9M7I9,ECO:0000269,Plastid,Plastid
Q9SJ02,ECO:0000269,Plastid,Plastid
O94804,ECO:0000269,Cell membrane,Cell.membrane
Q15831,ECO:0000269,Nucleus,Nucleus
Q15831,ECO:0000269,Cytoplasm,Cytoplasm
D4AE59,ECO:0000269,Nucleus,Nucleus
D4AE59,ECO:0000269,Cytoplasm,Cytoplasm
D4AE59,ECO:0000269,Membrane,Cell.membrane
Q91604,ECO:0000269,Cytoplasm,Cytoplasm
O88697,ECO:0000269,Cytoplasm,Cytoplasm
P49842,ECO:0000269,Nucleus,Nucleus
G5ECN5,ECO:0000269,Nucleus,Nucleus
G5ECN5,ECO:0000269,Cell junction,Cell.membrane
G5ECN5,ECO:0000269,Cytoplasm,Cytoplasm
Q7XR88,ECO:0000269,Cell membrane,Cell.membrane
P0C8B9,ECO:0000269,Secreted,Extracellular
P0C8C0,ECO:0000269,Secreted,Extracellular
P0C8C1,ECO:0000269,Secreted,Extracellular
Q20024,ECO:0000269,Cell membrane,Cell.membrane
P0C8C2,ECO:0000269,Secreted,Extracellular
P0C8C3,ECO:0000269,Secreted,Extracellular
P0C8C4,ECO:0000269,Secreted,Extracellular
O94530,ECO:0000269,Cytoplasm,Cytoplasm
O94530,ECO:0000269,Nucleus,Nucleus
P32579,ECO:0000269,Cytoplasm,Cytoplasm
P32579,ECO:0000269,Chromosome,Nucleus
F4JCU0,ECO:0000269,Nucleus,Nucleus
Q9FG00,ECO:0000269,Cell membrane,Cell.membrane
P68209,ECO:0000269,Mitochondrion,Mitochondrion
Q8GTQ9,ECO:0000269,Mitochondrion,Mitochondrion
Q8LAD2,ECO:0000269,Mitochondrion,Mitochondrion
Q6DQL1,ECO:0000269,Mitochondrion,Mitochondrion
Q6WNK7,ECO:0000269,Nucleus,Nucleus
Q6WNK7,ECO:0000269,Cytoplasm,Cytoplasm
Q00917,ECO:0000269,Cytoplasm,Cytoplasm
F4K5W8,ECO:0000269,Secreted,Extracellular
H6TFZ4,ECO:0000269,Cytoplasm,Cytoplasm
H6TFZ4,ECO:0000269,Membrane,Cell.membrane
Q9FX32,ECO:0000269,Secreted,Extracellular
Q7XNX6,ECO:0000269,Cytoplasm,Cytoplasm
Q7XNX6,ECO:0000269,Membrane,Cell.membrane
Q05515,ECO:0000269,Cytoplasm,Cytoplasm
Q05515,ECO:0000269,Nucleus,Nucleus
Q9HGN8,ECO:0000269,Cytoplasm,Cytoplasm
Q9HGN8,ECO:0000269,Nucleus,Nucleus
O61122,ECO:0000269,Cytoplasm,Cytoplasm
O61122,ECO:0000269,Nucleus,Nucleus
Q03088,ECO:0000269,Cytoplasm,Cytoplasm
Q5A8K2,ECO:0000269,Mitochondrion,Mitochondrion
Q5A8K2,ECO:0000269,Cytoplasm,Cytoplasm
O02495,ECO:0000269,Cytoplasmic vesicle,Lysosome/Vacuole
O02495,ECO:0000269,Cell membrane,Cell.membrane
Q92356,ECO:0000269,Membrane,Cell.membrane
P18489,ECO:0000269,Cell membrane,Cell.membrane
Q08553,ECO:0000269,Nucleus,Nucleus
O43011,ECO:0000269,Cytoplasm,Cytoplasm
Q8RXK8,ECO:0000269,Plastid,Plastid
Q8RXK8,ECO:0000269,Mitochondrion,Mitochondrion
Q9USL3,ECO:0000269,Cytoplasm,Cytoplasm
Q6QM28,ECO:0000269,Cell junction,Cell.membrane
Q9Y7Y8,ECO:0000269,Cytoplasm,Cytoplasm
Q8VHQ7,ECO:0000269,Membrane,Cell.membrane
Q8VHQ7,ECO:0000269,Cytoplasmic vesicle,Lysosome/Vacuole
O04630,ECO:0000269,Mitochondrion,Mitochondrion
O04630,ECO:0000269,Cytoplasm,Cytoplasm
F4IFC5,ECO:0000269,Plastid,Plastid
F4IFC5,ECO:0000269,Mitochondrion,Mitochondrion
B2RZD2,ECO:0000269,Mitochondrion membrane,Mitochondrion
A2VDJ0,ECO:0000269,Cell membrane,Cell.membrane
A2VDJ0,ECO:0000269,Cytoplasm,Cytoplasm
A2VDJ0,ECO:0000269,Endoplasmic reticulum,Endoplasmic.reticulum
Q80WF4,ECO:0000269,Golgi apparatus membrane,Golgi.apparatus
Q80WF4,ECO:0000269,Endoplasmic reticulum membrane,Endoplasmic.reticulum
P11060,ECO:0000269,Secreted,Extracellular
P11061,ECO:0000269,Secreted,Extracellular
P11062,ECO:0000269,Secreted,Extracellular
Q5Y4V3,ECO:0000269,Secreted,Extracellular
Q5Y4V2,ECO:0000269,Secreted,Extracellular
Q5Y4U8,ECO:0000269,Secreted,Extracellular
Q91XT6,ECO:0000269,Nucleus,Nucleus
O13722,ECO:0000269,Nucleus,Nucleus
Q03761,ECO:0000269,Nucleus,Nucleus
Q6NQH4,ECO:0000269,Nucleus,Nucleus
Q6NQH4,ECO:0000269,Cell membrane,Cell.membrane
Q15543,ECO:0000269,Nucleus,Nucleus
P11747,ECO:0000269,Nucleus,Nucleus
O94436,ECO:0000269,Nucleus,Nucleus
P25638,ECO:0000269,Cytoplasm,Cytoplasm
P25638,ECO:0000269,Nucleus,Nucleus
Q9VBV3,ECO:0000269,Secreted,Extracellular
C0HJX4,ECO:0000269,Cytoplasm,Cytoplasm
C0HJX4,ECO:0000269,Nucleus,Nucleus
Q9D1E6,ECO:0000269,Cytoplasm,Cytoplasm
Q9NVR7,ECO:0000269,Cytoplasm,Cytoplasm
Q9SMR2,ECO:0000269,Cytoplasm,Cytoplasm
Q15814,ECO:0000269,Cytoplasm,Cytoplasm
O80919,ECO:0000269,Golgi apparatus membrane,Golgi.apparatus
Q12788,ECO:0000269,Nucleus,Nucleus
Q22292,ECO:0000269,Nucleus,Nucleus
Q22289,ECO:0000269,Nucleus,Nucleus
Q07998,ECO:0000269,Nucleus,Nucleus
O15178,ECO:0000269,Nucleus,Nucleus
P20293,ECO:0000269,Nucleus,Nucleus
O74428,ECO:0000269,Cytoplasm,Cytoplasm
Q13428,ECO:0000269,Nucleus,Nucleus
O82277,ECO:0000269,Nucleus,Nucleus
Q01755,ECO:0000269,Cytoplasmic vesicle,Lysosome/Vacuole
A0AQW4,ECO:0000269,Nucleus,Nucleus
Q9S7W5,ECO:0000269,Nucleus,Nucleus
Q9S7W5,ECO:0000269,Plastid,Plastid
Q93Z00,ECO:0000269,Nucleus,Nucleus
Q9C9L2,ECO:0000269,Nucleus,Nucleus
O96876,ECO:0000269,Cytoplasm,Cytoplasm
A1YKT1,ECO:0000269,Nucleus,Nucleus
Q8TDR4,ECO:0000269,Nucleus,Nucleus
E1JH25,ECO:0000269,Chromosome,Nucleus
Q10274,ECO:0000269,Nucleus,Nucleus
Q3ZBF7,ECO:0000269,Cytoplasm,Cytoplasm
P47226,ECO:0000269,Cytoplasm,Cytoplasm
Q14BK3,ECO:0000269,Nucleus,Nucleus
Q96LM6,ECO:0000269,Cytoplasm,Cytoplasm
Q9DAG4,ECO:0000269,Nucleus,Nucleus
Q53QW1,ECO:0000269,Cytoplasm,Cytoplasm
Q84MZ4,ECO:0000269,Nucleus,Nucleus
P22735,ECO:0000269,Membrane,Cell.membrane
O95932,ECO:0000269,Cytoplasm,Cytoplasm
Q08188,ECO:0000269,Cytoplasm,Cytoplasm
Q8BZH1,ECO:0000269,Secreted,Extracellular
Q99041,ECO:0000269,Secreted,Extracellular
O43548,ECO:0000269,Cytoplasm,Cytoplasm
Q8N1Q8,ECO:0000269,Mitochondrion matrix,Mitochondrion
P43133,ECO:0000269,Secreted,Extracellular
Q86V81,ECO:0000269,Nucleus,Nucleus
Q86V81,ECO:0000269,Nucleus speckle,Nucleus
Q86V81,ECO:0000269,Cytoplasm,Cytoplasm
O08583,ECO:0000269,Nucleus,Nucleus
O08583,ECO:0000269,Cytoplasm,Cytoplasm
Q9W1F4,ECO:0000269,Nucleus membrane,Nucleus
Q13769,ECO:0000269,Nucleus,Nucleus
Q13769,ECO:0000269,Cytoplasm,Cytoplasm
Q8BKT7,ECO:0000269,Nucleus,Nucleus
Q8BKT7,ECO:0000269,Cytoplasm,Cytoplasm
Q9USR5,ECO:0000269,Cytoplasm,Cytoplasm
Q9USR5,ECO:0000269,Nucleus,Nucleus
Q8L4M1,ECO:0000269,Nucleus,Nucleus
Q86W42,ECO:0000269,Nucleus,Nucleus
Q69P94,ECO:0000269,Nucleus,Nucleus
Q69P94,ECO:0000269,Cytoplasm,Cytoplasm
Q8GSI0,ECO:0000269,Nucleus,Nucleus
Q9C9E3,ECO:0000269,Nucleus,Nucleus
P47045,ECO:0000269,Mitochondrion inner membrane,Mitochondrion
O60220,ECO:0000269,Mitochondrion inner membrane,Mitochondrion
Q9FGL2,ECO:0000269,Vacuole membrane,Lysosome/Vacuole
Q5JNS0,ECO:0000269,Nucleus,Nucleus
P26587,ECO:0000269,Vacuole membrane,Lysosome/Vacuole
O82316,ECO:0000269,Vacuole membrane,Lysosome/Vacuole
P26039,ECO:0000269,Cell surface,Extracellular
P26039,ECO:0000269,Cell junction,Cell.membrane
Q9Y4G6,ECO:0000269,Cytoplasm,Cytoplasm
Q9Y4G6,ECO:0000269,Cell junction,Cell.membrane
P86307,ECO:0000269,Secreted,Extracellular
P86308,ECO:0000269,Secreted,Extracellular
P86309,ECO:0000269,Secreted,Extracellular
P86310,ECO:0000269,Secreted,Extracellular
P86311,ECO:0000269,Secreted,Extracellular
Q9H0C3,ECO:0000269,Cell membrane,Cell.membrane
Q4V9L6,ECO:0000269,Cell membrane,Cell.membrane
Q8R138,ECO:0000269,Cell membrane,Cell.membrane
Q8R138,ECO:0000269,Cytoplasm,Cytoplasm
Q8R138,ECO:0000269,Endoplasmic reticulum membrane,Endoplasmic.reticulum
Q86T26,ECO:0000269,Cell membrane,Cell.membrane
Q1JRP2,ECO:0000269,Cell membrane,Cell.membrane
Q5S248,ECO:0000269,Cell membrane,Cell.membrane
Q5S248,ECO:0000269,Secreted,Extracellular
Q6DFQ7,ECO:0000269,Cell membrane,Cell.membrane
Q6DFQ7,ECO:0000269,Cytoplasmic vesicle,Lysosome/Vacuole
Q8N511,ECO:0000269,Cytoplasmic vesicle,Lysosome/Vacuole
Q8N511,ECO:0000269,Endoplasmic reticulum membrane,Endoplasmic.reticulum
F1LM81,ECO:0000269,Cytoplasm,Cytoplasm
F1LM81,ECO:0000269,Membrane,Cell.membrane
Q9BX74,ECO:0000269,Membrane,Cell.membrane
Q3E764,ECO:0000269,Cytoplasm,Cytoplasm
Q3E764,ECO:0000269,Nucleus,Nucleus
Q5JD67,ECO:0000269,Chromosome,Nucleus
D3KZG3,ECO:0000269,Cell membrane,Cell.membrane
Q8R4P5,ECO:0000269,Cell membrane,Cell.membrane
Q08422,ECO:0000269,Nucleus,Nucleus
E7FFT2,ECO:0000269,Cell membrane,Cell.membrane
O94876,ECO:0000269,Endoplasmic reticulum membrane,Endoplasmic.reticulum
O75069,ECO:0000269,Endoplasmic reticulum membrane,Endoplasmic.reticulum
Q9ULS5,ECO:0000269,Endoplasmic reticulum membrane,Endoplasmic.reticulum
Q9UM00,ECO:0000269,Endoplasmic reticulum membrane,Endoplasmic.reticulum
Q9UM00,ECO:0000269,Golgi apparatus membrane,Golgi.apparatus
Q6PEY1,ECO:0000269,Cell membrane,Cell.membrane
A6NDV4,ECO:0000269,Cell membrane,Cell.membrane
A6NDV4,ECO:0000269,Cytoplasm,Cytoplasm
A6NDV4,ECO:0000269,Nucleus,Nucleus
A6NDV4,ECO:0000269,Mitochondrion,Mitochondrion
A6NDV4,ECO:0000269,Endoplasmic reticulum,Endoplasmic.reticulum
A0A3Q1LRJ2,ECO:0000269,Cytoplasmic vesicle,Lysosome/Vacuole
P0DJF3,ECO:0000269,Cytoplasmic vesicle,Lysosome/Vacuole
P83580,ECO:0000269,Secreted,Extracellular
P56207,ECO:0000269,Secreted,Extracellular
P81595,ECO:0000269,Secreted,Extracellular
P81596,ECO:0000269,Secreted,Extracellular
P81597,ECO:0000269,Secreted,Extracellular
